q_new,q_old,ans_old,label
 i also cant take the same ol answer to why he does this his brain isnt right it just tells him to drink i want to know why it makes him want it+ why he needs it.,why would people put alcohol in their bodies if it doesnt make them feel good and it makes them angry and sad?,thats a good question with a complicated answer. it comes down to the chemical changes in the brain brought on by addiction--they feel they need it to manage+ even though it doesnt help and only makes things worse. without going into excruciating detail+ an addicts brain is simply different from other peoples+ and reacts differently to the alcohol.,1
 i also cant take the same ol answer to why he does this his brain isnt right it just tells him to drink i want to know why it makes him want it+ why he needs it.,why would people put alcohol in their bodies if it doesnt make them feel good and it makes them angry and sad?,addiction.1,1
 i also cant take the same ol answer to why he does this his brain isnt right it just tells him to drink i want to know why it makes him want it+ why he needs it.,why is it my body tolerated such heavy drinking for so long and now all of a sudden i just cant keep it down?,because your liver (and other parts of your body) can only handle so much abuse. im surprised you dont know alcohol is a depressant. please talk with your doctor.,0
 i also cant take the same ol answer to why he does this his brain isnt right it just tells him to drink i want to know why it makes him want it+ why he needs it.,why is it my body tolerated such heavy drinking for so long and now all of a sudden i just cant keep it down?,"uh+ i could drink like that till about 26. now 31+ i have that salivating thing after about 2-3 drinks/shots+ so i cut back to 1-2 times a week and only have up to 3 drinks. your liver has \scarring\""+ and can no longer process the enzymes to digest it so it goes right to your bloodstream+ toxifying your body. mixing the alcohol w/ sugars=bad. fruit sugars usually ok. i kill hangovers w/ airborne. kava kava is an herbal remedy for liver damage! hope this helps.0""",0
 i also cant take the same ol answer to why he does this his brain isnt right it just tells him to drink i want to know why it makes him want it+ why he needs it.,its a proven fact that marijuana is nothing more then a healthy herb that can cure many diseases including cancer there is nothing unhealthy about it besides the smoke causing lung dammage its a natural plant from the earth so why do some people have hate toards people who smoke weed but at the same time in there eyes alcohol is something ok to do when alcohol is something people shouldnt do it hurts people u can harm other people while drunk and start fights and stuff and kill people black out destroy ur liver and all this when weed does none of this and at the same time having many benefits i mean its even socially acceptable to give children occasionally on certain holidays some whine or something on christmas or thanks giving.,why do dumb potheads always ask this when they know the answer? alcohol has been around for forever as a celabratory thing. weed has been around forever as well but didnt gain popularity the same way. when marijuana got noticed it was associated with blacks and mexicans and was seen as a negative thing because of someone called the white man. they brainwashed people into thinking it made you crazy and stupid and able to commit murder while being high. stupid? yes. sadly some people are still brainwashed and think its bad and that its a gateway drug(i think alcohol is more of a gateway drug if you ask me). it can be to morons who are dumb enough to want to do hard drugs. but most are just content with good ol harmless maryjane. like myself. have a good day. p.s. weed does not cure cancer...it helps with the symptoms of chemotherapy. if it cured cancer then it would. but it doesnt+ just a helpful herb. bob marley died of cancer and pot didnt save him. and it doesnt hurt your lungs. ive smoked for years and dont even have a smokers cough. look into better sources,0
 i also cant take the same ol answer to why he does this his brain isnt right it just tells him to drink i want to know why it makes him want it+ why he needs it.,its a proven fact that marijuana is nothing more then a healthy herb that can cure many diseases including cancer there is nothing unhealthy about it besides the smoke causing lung dammage its a natural plant from the earth so why do some people have hate toards people who smoke weed but at the same time in there eyes alcohol is something ok to do when alcohol is something people shouldnt do it hurts people u can harm other people while drunk and start fights and stuff and kill people black out destroy ur liver and all this when weed does none of this and at the same time having many benefits i mean its even socially acceptable to give children occasionally on certain holidays some whine or something on christmas or thanks giving.,with alcahol+ there is a limit. well at least if your driving or whatever. but+ you can usually control yourself with alcahol more than you could with weed. weed is addictive. even though alcahol can be too+ weed is more of a feel to need it all the time.0,0
 i also cant take the same ol answer to why he does this his brain isnt right it just tells him to drink i want to know why it makes him want it+ why he needs it.,why do people drink alcohol?,some people drink alcohol because they like the taste of it. others drink because it helps them relax+ have a good time and be themselves! lastly+ some people are addicted to alcohol and these people are called alcoholics.,1
 i also cant take the same ol answer to why he does this his brain isnt right it just tells him to drink i want to know why it makes him want it+ why he needs it.,why do people drink alcohol?,the taste+ the buzz+ drowing their sorrows. list is endless.0,1
is alcohol more damaging to the body than illegal drugs such as cocaine?,do u think alcohol can be unhealthier than many illegal drugs?,any mood-altering substance can be unhealthy+ whether in moderation or not. alcohol is just as bad as any illegal drug when abused: it destroys health+ family+ life... like any addiction+ its a bad thing. thats an extreme case+ of course. in moderation+ its not horribly unhealthy and can have positive effects. from a purely personal point of view+ ive seen alcohol destroy more people and do more damage than illegal drugs+ though the latter are certainly more dramatic.,1
is alcohol more damaging to the body than illegal drugs such as cocaine?,do u think alcohol can be unhealthier than many illegal drugs?,drinking in moderation is fine+ weed and all illegal drugs are detrimental to health0,1
