subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
what state do you think has the highest rate of alcoholism?,,,,,,,
wouldnt life be much better if drinking alcohol were to be prohibited agree or disagree?,,,,,,,
why do people need alcohol?,,,,,,,
my alcoholic father-in-law whats visitation of my daughter...does he have standing?,,,,,,,
"if both my parents are recovered alcoholics, will i have a problem with alcohol?","both of my parents have not had a drink in over 20 years but i am wondering, if i have a decent childhood will i be able to drink alcohol in moderation in the future?",or will i have a problem with it since both of my parents have the gene. ,,,,,
"im addicted to alcohol, cigarettes and sex: help it is killing me?",does this have a connection to my alcohol problem?,,,,,,
do people use drug addiction and alcoholism as an excuse to often?,,,,,,,
alcoholism - help please.?,,,,,,,
"is it a good thing to make our cigarettes, alcohol,drugs and firearms so cheap and easily available?",is a high level of freedom beneficial for most of us in society? ,,,,,,
anyone agree that if your single and no kids it is easier being an alcoholic or addict?,,,,,,,
if you consume more than 3 drinks or more alone every week are you an alcoholic?,,,,,,,
my friend might be an alcoholic?,,,,,,,
my mother is a crazy alcoholic and i cant cope with her?,,,,,,,
what are the primary differences between an alcoholic vs a drug addict?,,,,,,,
kiss army alert! while pridng himself on being drug/alcohol free....?,,,,,,,
alcoholism.. i dont understand how somone can become dependent?,,,,,,,
a relapsing alcoholic a few psychology questions help?,"since she cut out sugar, could she have been craving the alcohol for sugar?",,,,,,
what are the aftereffects of cocaine and alcohol?,could this be because i possibly did cocaine or is it just a bad hangover?,,,,,,
"i was just wondering, do you think i am going to become an alcoholic? ",,,,,,,
health - margarita alcohol level?,will drinking it cause any health problem?,,,,,,
could punching your leg be a sign of drug/alcohol withdraws?,are these common signs of drug/alcohol withdraws/addictions?,and can i do anything to help him overcome this problem?,,,,,
i left my husband because he is an alcoholic?,,,,,,,
why do you think alcohol and tobacco are accepted drugs and ecstasy and weed arent?,,,,,,,
why does it seem cool to want to be a drug addict or alcohol seller?,,,,,,,
can you go through withdrawl from alcohol?,"but i digress, can you get withdrawls from alcohol.",i guess my real question is how severe will they be and how long will it last.,,,,,
alcohol and meth questions?,is it true that if your mom or dad were alcoholics or meth addicts that their children have a higher chance of being that way too?,,,,,,
advice on alcoholic seizures?,does anyone know of any way to lessen the frequency of seizures without seeking medical help?,,,,,,
pisces do you like to be indulged in drugs and alcohol or are you repelled by them?,,,,,,,
alcoholism in the family; how do you stop the cycle of abuse?,,,,,,,
i have a niece that is 2 1/2 years old and her mom did drugs and alcohol and crack what can it cause?,where do you start to get help for this child?,,,,,,
is past extensive cocaine use and alcohol abuse treatable?,is there any long-term treatments or options that i should take that can calm her down?,,,,,,
what if alcohol had no bad physical effect?,"but if alcohol had no bad physical effects, would you think its a completely harmless substance?",,,,,,
alcohol helps me focus - adhd?,,,,,,,
i am an alcoholic/drug addict in need of some supportive words?,,,,,,,
drinking alcohol at 14 help?,,,,,,,
"do teens overreact about how ""awesome"" thing like pot,sex,and alcohol are?",,,,,,,
why are some prone to drug and alcohol abuse?,can shyness for example lead to drug and alcohol dependency?,,,,,,
"marijuana, alcohol and cigarettes: difference?","if you smoke pot a lot, will you have brain problems?",,,,,,
"risk of alcoholism, need info?",,,,,,,
"my question is, what is the point of not killing myself if i know i will most likely end up an addict, even though i am very smart and athletic?",,,,,,,
"is it hypocritical to drink alcohol and tell others that using drugs is wrong, when alcohol is just as bad?","please leave legality out of this question when you answer, but do you believe it is hypocritical to be a drinker and then preach to others how ""evil"" or ""wrong"" drugs are when in reality alcohol can be just as or more destructive to the body?",do you think its because we as a society have accepted the governments separation of drugs from alcohol or that people just think that alcohol is a better vice because it is morally acceptable and drugs are frowned upon?,,,,,
why do some christian groups insist on abstaining from alcohol?,,,,,,,
im a recovering alcoholic but im not drinking alcohol?,what is the problem with wanting to relax recreationally once in awhile? ,,,,,,
is my tolerance to vicodin any reflection of tolerance to alcohol?,is there any relation between this and alcohol use since their effects are kind of similar?,,,,,,
"im from poland, living in north london and alcohol addict. can i get detox without paing for it?",,,,,,,
is it haram to give money to poor alcoholics?,so was it haram to give an alcoholic some money.,,,,,,
can fully recovered alcoholics drink again?,"could i go out and have a beer with the guys, then?",,,,,,
do most people who drink alcohol excessively do so to relieve repressed anger?,is it a nice word for repressed anger?,"how drinking alcohol changes this feeling to maybe what would be a ""normal state"" if hadnt been in ""stressful"" situations?","and how would a person feel if never had much anger repressed or ""stress""?",,,,
help my alcoholic friend?,,,,,,,
